"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Closing the Gaps","Distinction
Postsecondary
Readiness","US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
001902,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,593,0.497,0.013,B,87,B,87,B,87,C,78,B,87,B,86,,,,,,,,,Not Earned,,,,,,,
001902,CAYUGA ISD,001902001,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,171,0.444,0.018,A,97,A,96,A,94,B,88,A,94,A,98,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,166,0.47,0.006,B,85,B,85,B,85,C,79,B,85,B,86,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902103,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,No,256,0.551,0.016,C,75,C,77,C,79,D,62,C,79,D,67,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,1194,0.59,0.029,B,83,B,85,B,85,C,70,B,85,C,78,,,,,,,,,Not Earned,,,,,,,
001903,ELKHART ISD,001903001,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,315,0.47,0.013,A,92,A,92,B,89,B,81,B,89,A,91,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903041,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,270,0.57,0.019,B,83,B,84,B,87,D,65,B,87,C,72,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903101,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,No,327,0.685,0.04,C,77,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903102,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,03 - 05,No,No,282,0.631,0.046,C,77,C,77,B,80,D,62,B,80,C,70,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,801,0.588,0.044,B,88,B,88,A,90,B,80,A,90,B,84,,,,,,,,,Not Earned,,,,,,,
