,Series,Contestant,Points Per Task,Total Points,Total Tasks,Percentage of Total Points Won,Total Episodes,Total Points In Series,Total Prize Task Points,Prize Task Points Per Ep,% of Points From Prize Tasks,Subjective Task Points,Subjective Tasks,Percentage of subjective tasks in show,Subjective Task Average Score,Subjective Points Not Including Prize Tasks,% of Points From Subjective Tasks,Objective Task Points,Objective Tasks,Objective Task Average Score,% of points from objective tasks,Fastest Wins Tasks,"Points from ""Fastest Wins"" Tasks",Points Per Fastest Wins Task,Fastest Wins Task Wins,Difference Between Subjective and Objective Task Scores,Average Point Total Excluding Live Tasks,Average Point Total Excluding Prize Tasks,Total Live Task Points,Live Task Points Per Ep,Live Task Wins (Solo),Live Solo Tasks,Percentage of Live Tasks Won,% of points from Live Tasks,% of points from studio tasks (prize and live),Total Studio Points,Points Scored In Studio Per Episode,Total Bonus Points,Total Episode Wins,Gender,Points Per Subjective Task Per Series,Total Subjective Points in Series,Predicted Total Subjective Points In Series,Date of birth,Star sign,First ep of series broadcast date,Age at first show broadcast date,Seat Position,Height in cm,Syllables in name,Number of Times They Said Fuck,Points Scored In Studio,Number of tasks in Studio,Points Per Studio Task
1,1,Frank Skinner,2.91,93,32,21.33%,6,436,21,3.50,22.58%,35,11,34.38%,3.18,2.80,37.63%,58,21,2.76,62.37%,7,18,2.57,0,0.42,3.00,2.77,15,2.50,0,6,0.00%,16.13%,38.71%,36,6.00,0,2,M,2.84,156,162.5,28-Jan-1957,Aquarius,28-Jul-2015,58,1,178,3,0,42,14,3.00
2,1,Josh Widdicombe,2.94,94,32,21.56%,6,436,18,3.00,19.15%,31,11,34.38%,2.82,2.60,32.98%,63,21,3.00,67.02%,7,21,3.00,2,-0.18,3.00,2.92,16,2.67,1,6,16.67%,17.02%,36.17%,34,5.67,1,2,M,2.84,156,162.5,08-Apr-1983,Aries,28-Jul-2015,32,2,169,4,6,44,14,3.14
3,1,Roisin Conaty,2.13,68,32,15.60%,6,436,10,1.67,14.71%,21,11,34.38%,1.91,2.20,30.88%,47,21,2.24,69.12%,7,17,2.43,1,-0.33,2.08,2.23,14,2.33,2,6,33.33%,20.59%,35.29%,24,4.00,0,1,F,2.84,156,162.5,26-Mar-1979,Aries,28-Jul-2015,36,3,173,5,1,30,14,2.14
4,1,Romesh Ranganathan,2.91,93,32,21.33%,6,436,16,2.67,17.20%,32,11,34.38%,2.91,3.20,34.41%,61,21,2.90,65.59%,7,16,2.29,1,0.00,2.88,2.96,18,3.00,0,6,0.00%,19.35%,36.56%,34,5.67,0,0,M,2.84,156,162.5,27-Mar-1978,Aries,28-Jul-2015,37,4,182,6,10,40,14,2.86
5,1,Tim Key,2.75,88,32,20.18%,6,436,25,4.17,28.41%,37,11,34.38%,3.36,2.40,42.05%,51,21,2.43,57.95%,7,15,2.14,1,0.94,2.73,2.42,17,2.83,2,6,33.33%,19.32%,47.73%,42,7.00,0,1,M,2.84,156,162.5,02-Sep-1976,Virgo,28-Jul-2015,38,5,177.8,2,4,44,14,3.14
6,2,Doc Brown,2.79,78,28,18.71%,5,417,17,3.40,21.79%,35,12,42.86%,2.92,2.57,44.87%,43,16,2.69,55.13%,7,9,1.29,0,0.23,2.48,2.65,21,4.20,1,5,20.00%,26.92%,48.72%,38,7.60,1,1,M,3.02,181,175,21-Sep-1977,Virgo,21-Jun-2016,38,1,170,2,10,41,11,3.73
7,2,Joe Wilkinson,2.46,69,28,16.55%,5,417,17,3.40,24.64%,35,12,42.86%,2.92,2.57,50.72%,34,16,2.13,49.28%,7,10,1.43,1,0.79,2.48,2.26,12,2.40,0,5,0.00%,17.39%,42.03%,29,5.80,1,0,M,3.02,181,175,02-May-1975,Taurus,21-Jun-2016,41,2,180.5,4,4,31,11,2.82
8,2,Jon Richardson,3.21,90,28,21.58%,5,417,14,2.80,15.56%,34,12,42.86%,2.83,2.86,37.78%,56,16,3.50,62.22%,7,24,3.43,2,-0.67,3.26,3.30,15,3.00,1,5,20.00%,16.67%,32.22%,29,5.80,0,1,M,3.02,181,175,26-Sep-1982,Libra,21-Jun-2016,33,3,173,4,6,30,11,2.73
9,2,Katherine Ryan,3.36,94,28,22.54%,5,417,17,3.40,18.09%,41,12,42.86%,3.42,3.43,43.62%,53,16,3.31,56.38%,7,17,2.43,1,0.10,3.00,3.35,25,5.00,1,5,20.00%,26.60%,44.68%,42,8.40,1,1,F,3.02,181,175,30-Jun-1983,Cancer,21-Jun-2016,32,4,168,4,3,46,11,4.18
10,2,Richard Osman,3.07,86,28,20.62%,5,417,11,2.20,12.79%,36,12,42.86%,3.00,3.57,41.86%,50,16,3.13,58.14%,7,32,4.57,4,-0.13,3.00,3.26,17,3.40,2,5,40.00%,19.77%,32.56%,28,5.60,0,2,M,3.02,181,175,28-Nov-1970,Sagittarius,21-Jun-2016,45,5,200,4,2,33,11,3.00
11,3,Al Murray,2.96,80,27,20.73%,5,386,14,2.80,17.50%,34,12,44.44%,2.83,2.86,42.50%,46,15,3.07,57.50%,4,11,2.75,2,-0.23,3.05,3.00,13,2.60,2,5,40.00%,16.25%,33.75%,27,5.40,0,1,M,2.93,176,177.5,10-May-1968,Taurus,04-Oct-2016,48,1,191,3,1,30,11,2.73
12,3,Dave Gorman,3.00,81,27,20.98%,5,386,17,3.40,20.99%,43,12,44.44%,3.58,3.71,53.09%,38,15,2.53,46.91%,4,10,2.50,0,1.05,3.09,2.91,13,2.60,0,5,0.00%,16.05%,37.04%,30,6.00,0,1,M,2.93,176,177.5,02-Mar-1971,Pisces,04-Oct-2016,45,2,175,3,0,35,11,3.18
13,3,Paul Chowdhry,2.44,66,27,17.10%,5,386,13,2.60,19.70%,28,12,44.44%,2.33,2.14,42.42%,38,15,2.53,57.58%,4,9,2.25,0,-0.20,2.50,2.41,11,2.20,0,5,0.00%,16.67%,36.36%,24,4.80,0,1,M,2.93,176,177.5,21-Aug-1974,Leo,04-Oct-2016,42,3,173,3,3,26,11,2.36
14,3,Rob Beckett,3.22,87,27,22.54%,5,386,16,3.20,18.39%,36,12,44.44%,3.00,2.86,41.38%,51,15,3.40,58.62%,4,12,3.00,2,-0.40,3.23,3.23,16,3.20,2,5,40.00%,18.39%,36.78%,32,6.40,0,2,M,2.93,176,177.5,02-Jan-1986,Capricorn,04-Oct-2016,30,4,170,3,8,36,11,3.27
15,3,Sara Pascoe,2.67,72,27,18.65%,5,386,14,2.80,19.44%,35,12,44.44%,2.92,3.00,48.61%,37,15,2.47,51.39%,4,12,3.00,1,0.45,2.77,2.64,11,2.20,1,5,20.00%,15.28%,34.72%,25,5.00,0,0,F,2.93,176,177.5,22-May-1981,Gemini,04-Oct-2016,35,5,160,4,0,26,11,2.36
16,4,Hugh Dennis,2.87,129,45,19.31%,8,668,13,1.63,10.08%,47,20.5,45.56%,2.29,2.72,36.43%,82,24.5,3.35,63.57%,8,26,3.25,2,-1.05,2.86,3.14,23,2.88,1,8,12.50%,17.83%,27.91%,36,4.50,2,1,M,3.05,313,305,13-Feb-1962,Aquarius,25-Apr-2017,55,1,185,3,3,36,16,2.25
17,4,Joe Lycett,3.02,136,45,20.36%,8,668,24,3.00,17.65%,68,20.5,45.56%,3.32,3.52,50.00%,68,24.5,2.78,50.00%,8,24,3.00,1,0.54,3.05,3.03,23,2.88,2,8,25.00%,16.91%,34.56%,47,5.88,2,2,M,3.05,313,305,05-Jul-1988,Cancer,25-Apr-2017,28,2,184,3,9,47,16,2.94
18,4,Lolly Adefope,2.78,125,45,18.71%,8,668,34,4.25,27.20%,57,20.5,45.56%,2.78,1.84,45.60%,68,24.5,2.78,54.40%,8,28,3.50,2,0.00,2.89,2.46,18,2.25,1,8,12.50%,14.40%,41.60%,52,6.50,0,1,F,3.05,313,305,14-Sep-1990,Virgo,25-Apr-2017,26,3,163,6,0,52,16,3.25
19,4,Mel Giedroyc,2.98,134,45,20.06%,8,668,18,2.25,13.43%,60,20.5,45.56%,2.93,3.36,44.78%,74,24.5,3.02,55.22%,8,17,2.13,0,-0.09,2.89,3.14,27,3.38,4,8,50.00%,20.15%,33.58%,45,5.63,2,3,F,3.05,313,305,05-Jun-1968,Gemini,25-Apr-2017,48,4,166,3,1,45,16,2.81
20,4,Noel Fielding,3.20,144,45,21.56%,8,668,30,3.75,20.83%,81,20.5,45.56%,3.95,4.08,56.25%,63,24.5,2.57,43.75%,8,24,3.00,2,1.38,3.43,3.08,17,2.13,1,8,12.50%,11.81%,32.64%,47,5.88,3,1,M,3.05,313,305,21-Jun-1973,Cancer,25-Apr-2017,43,5,176,3,4,47,16,2.94
21,5,Aisling Bea,2.93,126,43,19.97%,8,631,26,3.25,20.63%,67,21,48.84%,3.19,3.15,53.17%,59,22,2.68,46.83%,7,10,1.43,0,0.51,2.83,2.86,27,3.38,4,8,50.00%,21.43%,42.06%,53,6.63,0,0,F,3.11,327,307.5,16-Mar-1984,Pisces,13-Sep-2017,33,1,170,3,4,53,16,3.31
22,5,Bob Mortimer,3.21,138,43,21.87%,8,631,25,3.13,18.12%,66,21,48.84%,3.14,3.15,47.83%,72,22,3.27,52.17%,7,30,4.29,4,-0.13,3.23,3.23,25,3.13,2,8,25.00%,18.12%,36.23%,50,6.25,0,3,M,3.11,327,307.5,23-May-1959,Gemini,13-Sep-2017,58,2,170,4,13,50,16,3.13
23,5,Mark Watson,3.02,130,43,20.60%,8,631,23,2.88,17.69%,61,21,48.84%,2.90,2.92,46.92%,69,22,3.14,53.08%,7,24,3.43,1,-0.23,2.89,3.06,29,3.63,3,8,37.50%,22.31%,40.00%,52,6.50,0,2,M,3.11,327,307.5,13-Feb-1980,Aquarius,13-Sep-2017,37,3,182,3,2,52,16,3.25
24,5,Nish Kumar,2.49,107,43,16.96%,8,631,17,2.13,15.89%,59,21,48.84%,2.81,3.23,55.14%,48,22,2.18,44.86%,7,14,2.00,1,0.63,2.43,2.57,22,2.75,1,8,12.50%,20.56%,36.45%,39,4.88,0,0,M,3.11,327,307.5,26-Aug-1985,Virgo,13-Sep-2017,32,4,175,3,5,39,16,2.44
25,5,Sally Phillips,3.02,130,43,20.60%,8,631,30,3.75,23.08%,74,21,48.84%,3.52,3.38,56.92%,56,22,2.55,43.08%,7,18,2.57,1,0.98,3.09,2.86,22,2.75,1,8,12.50%,16.92%,40.00%,52,6.50,0,3,F,3.11,327,307.5,10-May-1970,Taurus,13-Sep-2017,47,5,163,4,1,52,16,3.25
26,6,Alice Levine,2.71,152,56,18.16%,10,837,24,2.40,15.79%,66,25.5,45.54%,2.59,2.71,43.42%,86,30.5,2.82,56.58%,2,3,1.50,0,-0.23,2.72,2.78,27,2.70,3,10,30.00%,17.76%,33.55%,51,5.10,0,2,F,2.99,381,377.5,08-Jul-1986,Cancer,02-May-2018,31,1,170.2,4,0,51,20,2.55
27,6,Asim Chaudhry,2.84,159,56,19.00%,10,837,23,2.30,14.47%,66,25.5,45.54%,2.59,2.77,41.51%,93,30.5,3.05,58.49%,2,9,4.50,1,-0.46,2.89,2.96,26,2.60,1,10,10.00%,16.35%,30.82%,49,4.90,1,1,M,2.99,381,377.5,24-Nov-1987,Sagittarius,02-May-2018,30,2,171,4,24,49,20,2.45
